STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,SNOW,TMAX,TMIN
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200229,0.00,0.0,30,7
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200301,0.00,0.0,45,15
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200302,0.00,0.0,51,19
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200303,0.02,0.0,46,31
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200304,0.38,2.0,44,4
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200305,0.00,0.0,18,3
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200306,0.00,0.0,14,5
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200307,0.00,0.0,19,-1
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200308,0.00,0.0,42,12
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200309,0.00,0.0,54,31
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200310,0.00,0.0,48,31
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200311,0.00,0.0,54,43
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200312,0.42,0.0,49,28
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200313,0.00,0.0,41,22
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200314,0.00,0.0,54,27
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200315,0.00,0.0,61,47
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200316,0.00,0.0,49,28
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200317,0.00,0.0,41,20
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200318,0.40,1.0,37,30
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200319,0.28,1.0,41,36
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200320,0.00,0.0,37,28
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200321,0.00,0.0,53,24
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200322,0.00,0.0,70,33
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200323,0.12,0.0,58,48
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200324,1.16,0.0,59,49
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200325,1.13,0.0,56,50
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200326,0.05,0.0,57,38
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200327,0.00,0.0,74,37
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200328,0.24,0.0,67,38
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200329,0.00,0.0,52,30
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200330,0.00,0.0,68,38
GHCND:USC00134101,IOWA CITY IA US,223.4,41.666667,-91.533333,19200331,0.02,0.0,76,48
